United_States,United States,America,Washington D.C.,Austin,New York City
Mexico,Mexico,America,Mexico City,Guadalajara,Monterrey
Brazil,Brazil,America,Brasília,Rio de Janeiro,Sao Paulo City
Canada,Canada,America,Ottawa,Toronto,Montreal
China,China,Asia,Beijing,Shanghai,Hong Kong
India,India,Asia,New Delhi,Mumbai,Bangalore
Turkey,Turkey,Eurasia,Ankara,Istanbul,Islamabad
Japan,Japan,Asia,Tokyo,Kyoto,Osaka
South_Korea,South Korea,Asia,Seoul,Kyoto,Pyongyang
Israel,Israel,Asia,Jerusalem,Tel Aviv,Bethlehem
Australia,Australia,Oceania,Canberra,Sydney,Melbourne
New_Zealand,New Zealand,Oceania,Wellington,Auckland,Christchurch
Russia,Russia,Europe,Moscow,Saint Petersburg,Minsk
United_Kingdom,United Kingdom,Europe,London,Oxford,Manchester
Germany,Germany,Europe,Berlin,Hamburg,Frankfurt
Spain,Spain,Europe,Madrid,Barcelona,Pamplona
France,France,Europe,Paris,Marseilles,Lyon
Italy,Italy,Europe,Rome,Milan,Naples
South_Africa,South Africa,Africa,Cape Town,Johannesburg,Pretoria
Egypt,Egypt,Africa,Cairo,Alexandria,Nairobi
Morocco,Morocco,Africa,Rabat,Casablanca,Tangier
Republic_of_Ireland,Ireland,Europe,Dublin,Cork,Belfast
Madagascar,Madagascar,Africa,Antananarivo,Toamasina,Reunion
Colombia,Colombia,America,Bogotá,Medellín,Cartagena
Cuba,Cuba,America,Havana,Santiago de Cuba,Guantanamo
Chile,Chile,America,Santiago,Concepción,Valparaíso
Norway,Norway,Europe,Oslo,Bergen,Helsinki
Denmark,Denmark,Europe,Copenhagen,Brussels,Amsterdam
Argentina,Argentina,America,Buenos Aires,Córdoba,Rosario
Greece,Greece,Europe,Athens,Thessaloniki,Mykonos
United_Arab_Emirates,United Arab Emirates,Asia,Abu Dhabi,Dubai,Doha
Saudi_Arabia,Saudi Arabia,Asia,Riyadh,Jeddah,Abu Dhabi
Pakistan,Pakistan,Asia,Islamabad,Kabul,Tehran
Syria,Syria,Asia,Damascus,Aleppo,Cairo
Kenya,Kenya,Africa,Nairobi,Mombasa,Casablanca
Indonesia,Indonesia,Asia,Jakarta,Singapore,Kuala Lumpur
Netherlands,Netherlands,Europe,Amsterdam,Rotterdam,Hamburg
Sweden,Sweden,Europe,Stockholm,Gothenburg,Helsinki
Hungary,Hungary,Europe,Budapest,Debrecen,Bucarest
North_Korea,North Korea,Asia,Pyongyang,Seoul,Kyoto
